German,English
als,as
ICH,I
sein,his
Das,that
Er,he
War,was
für,for
An,on
Sind,are
mit,with
Sie,they
Sei,be
bei,at
eins,one
haben,have
Das,this
aus,from
von,by
heiß,hot
Wort,word
Aber,but
Was,what
manche,some
Ist,is
Es,it
Du,you
oder,or
hatte,had
Die,the
von,of
Zu,to
Und,and
A,a
In,in
Wir,we
dürfen,can
aus,out
andere,other
war,were
welche,which
Tun,do
ihre,their
Zeit,time
Wenn,if
Wille,will
Wie,how
sagte,said
ein,an
jede,each
erzählen,tell
tut,does
Satz,set
drei,three
wollen,want
Luft,air
Also,well
Auch,also
spielen,play
klein,small
Ende,end
setzen,put
heim,home
lesen,read
Hand,hand
Hafen,port
groß,large
Fluch,spell
hinzufügen,add
sogar,even
Land,land
Hier,here
muss,must
groß,big
hoch,high
solch,such
folgen,follow
Akt,act
Warum,why
fragen,ask
Männer,men
ändern,change
ging,went
Licht,light
Art,kind
aus,off
brauchen,need
Haus,house
Bild,picture
versuchen,try
uns,us
wieder,again
Tier,animal
Punkt,point
Mutter,mother
Welt,world
nahe,near
bauen,build
selbst,self
Erde,earth
Vater,father
beliebig,any
neu,new
arbeiten,work
Teil,part
nehmen,take
erhalten,get
Ort,place
gemacht,made
live,live
Wo,where
nach,after
zurück,back
wenig,little
nur,only
runden,round
Mann,man
Jahr,year
kam,came
zeigen,show
jeden,every
Gut,good
Mich,me
geben,give
unser,our
unter,under
Name,name
sehr,very
durch,through
Nur,just
bilden,form
Satz,sentence
Großartig,great
denken,think
sagen,say
helfen,help
niedrig,low
Linie,line
abweichen,differ
drehen,turn
Ursache,cause
viel,much
bedeuten,mean
Vor,before
bewegen,move
Rechts,right
Junge,boy
alt,old
zu,too
Dasselbe,same
sie,she
alle,all
Dort,there
Wann,when
hoch,up
verwenden,use
dein,your
Weg,way
um,about
viele,many
Dann,then
ihnen,them
schreiben,write
würde,would
wie,like
Also,so
diese,these
ihr,her
lang,long
machen,make
Ding,thing
sehen,see
ihn,him
zwei,two
hat,has
sehen,look
mehr,more
Tag,day
könnte,could
gehen,go
kommen,come
tat,did
Nummer,number
Klang,sound
NEIN,no
am meisten,most
Menschen,people
Mein,my
über,over
wissen,know
Wasser,water
als,than
Anruf,call
Erste,first
WHO,who
Mai,may
runter,down
Seite,side
gewesen,been
Jetzt,now
finden,find
Kopf,head
Stand,stand
eigen,own
Seite,page
sollen,should
Land,country
gefunden,found
Antwort,answer
Schule,school
wachsen,grow
Studie,study
Trotzdem,still
lernen,learn
Anlage,plant
Abdeckung,cover
Essen,food
Sonne,sun
vier,four
zwischen,between
Zustand,state
halten,keep
Auge,eye
niemals,never
zuletzt,last
lassen,let
Gedanke,thought
Stadt,city
Baum,tree
kreuzen,cross
Bauernhof,farm
hart,hard
Start,start
könnte,might
Geschichte,story
gesehen,saw
weit,far
Meer,sea
ziehen,draw
links,left
spät,late
laufen,run
während,while
Drücken Sie,press
schließen,close
Nacht,night
real,real
Leben,life
wenige,few
Norden,north
Buch,book
tragen,carry
nahm,took
Wissenschaft,science
essen,eat
Zimmer,room
Freund,friend
begann,began
Idee,idea
Fisch,fish
Berg,mountain
stoppen,stop
einmal,once
Base,base
hören,hear
Pferd,horse
schneiden,cut
Sicher,sure
betrachten,watch
Farbe,color
Gesicht,face
Holz,wood
hauptsächlich,main
offen,open
erscheinen,seem
zusammen,together
nächste,next
Weiß,white
Kinder,children
beginnen,begin
bekommen,got
gehen,walk
Beispiel,example
Leichtigkeit,ease
Papier,paper
Gruppe,group
stets,always
Musik,music
diese,those
beide,both
markieren,mark
oft,often
Brief,letter
bis,until
Meile,mile
Fluss,river
Auto,car
Füße,feet
Pflege,care
zweite,second
genug,enough
schmucklos,plain
Mädchen,girl
üblich,usual
jung,young
bereit,ready
über,above
immer,ever
Rot,red
Liste,list
obwohl,though
fühlen,feel
sprechen,talk
Vogel,bird
bald,soon
Körper,body
Hund,dog
Familie,family
Direkte,direct
Pose,pose
verlassen,leave
Lied,song
messen,measure
Tür,door
Produkt,product
Schwarz,black
kurz,short
Ziffer,numeral
Klasse,class
Wind,wind
Frage,question
passieren,happen
vollständig,complete
Schiff,ship
Bereich,area
Hälfte,half
Felsen,rock
Befehl,order
Feuer,fire
Süd,south
Problem,problem
Stück,piece
erzählt,told
wusste,knew
passieren,pass
seit,since
Spitze,top
ganz,whole
König,king
Straße,street
Zoll,inch
multiplizieren,multiply
Nichts,nothing
Kurs,course
bleiben,stay
Rad,wheel
voll,full
Gewalt,force
Blau,blue
Objekt,object
entscheiden,decide
Oberfläche,surface
tief,deep
Mond,moon
Insel,island
Fuß,foot
System,system
beschäftigt,busy
prüfen,test
aufzeichnen,record
Boot,boat
gemeinsam,common
Gold,gold
möglich,possible
Flugzeug,plane
Statt,stead
trocken,dry
Wunder,wonder
lachen,laugh
tausend,thousand
vor,ago
rannte,ran
überprüfen,check
Spiel,game
Form,shape
gleich,equate
heiß,hot
vermissen,miss
gebracht,brought
Hitze,heat
Schnee,snow
Reifen,tire
bringen,bring
Ja,yes
entfernt,distant
füllen,fill
Ost,east
malen,paint
Sprache,language
unter,among
Einheit,unit
Leistung,power
Stadt,town
Bußgeld,fine
bestimmt,certain
Fliege,fly
fallen,fall
führen,lead
weinen,cry
dunkel,dark
Maschine,machine
Notiz,note
Warten,wait
planen,plan
Figur,figure
Stern,star
Kasten,box
Substantiv,noun
Feld,field
ausruhen,rest
richtig,correct
fähig,able
Pfund,pound
Erledigt,done
Schönheit,beauty
fahren,drive
stand,stood
enthalten,contain
Vorderseite,front
unterrichten,teach
Woche,week
Finale,final
gab,gave
Grün,green
Oh,oh
schnell,quick
entwickeln,develop
Ozean,ocean
warm,warm
frei,free
Minute,minute
stark,strong
besonders,special
Geist,mind
hinter,behind
klar,clear
Schwanz,tail
produzieren,produce
Tatsache,fact
Raum,space
gehört,heard
am besten,best
Stunde,hour
besser,better
WAHR,TRUE
während,during
hundert,hundred
fünf,five
erinnern,remember
Schritt,step
früh,early
halten,hold
West,west
Boden,ground
Interesse,interest
erreichen,reach
schnell,fast
Verb,verb
singen,sing
Hören,listen
sechs,six
Tisch,table
reisen,travel
weniger,less
Morgen,morning
zehn,ten
einfach,simple
mehrere,several
Vokal,vowel
zu,toward
Krieg,war
legen,lay
gegen,against
Muster,pattern
langsam,slow
Center,center
Liebe,love
Person,person
Geld,money
Aufschlag,serve
erscheinen,appear
Straße,road
Karte,map
Regen,rain
Regel,rule
regieren,govern
ziehen,pull
kalt,cold
beachten,notice
Stimme,voice
Energie,energy
Jagd,hunt
wahrscheinlich,probable
Bett,bed
Bruder,brother
Ei,egg
Fahrt,ride
Zelle,cell
glauben,believe
vielleicht,perhaps
wählen,pick
plötzlich,sudden
zählen,count
Quadrat,square
Grund,reason
Länge,length
vertreten,represent
Kunst,art
Thema,subject
Region,region
Größe,size
variieren,vary
siedeln,settle
sprechen,speak
Gewicht,weight
allgemein,general
Eis,ice
Gegenstand,matter
Kreis,circle
Paar,pair
enthalten,include
teilen,divide
Silbe,syllable
gefühlt,felt
Grand,grand
Ball,ball
noch,yet
Welle,wave
fallen,drop
Herz,heart
Bin,am
gegenwärtig,present
schwer,heavy
tanzen,dance
Motor,engine
Position,position
Arm,arm
breit,wide
Segel,sail
Material,material
Fraktion,fraction
Wald,forest
sitzen,sit
Wettrennen,race
Fenster,window
speichern,store
Sommer,summer
Zug,train
schlafen,sleep
beweisen,prove
einsam,lone
Bein,leg
Übung,exercise
Wand,wall
fangen,catch
montieren,mount
Wunsch,wish
Himmel,sky
Planke,board
Freude,joy
Winter,winter
Sa,sat
geschrieben,written
wild,wild
Instrument,instrument
gehalten,kept
Glas,glass
Gras,grass
Kuh,cow
Arbeit,job
Rand,edge
Zeichen,sign
besuchen,visit
Vergangenheit,past
weich,soft
Spaß,fun
hell,bright
Gas,gas
Wetter,weather
Monat,month
Million,million
tragen,bear
beenden,finish
Glücklich,happy
Hoffnung,hope
Blume,flower
kleiden,clothe
seltsam,strange
gegangen,gone
Handel,trade
Melodie,melody
Reise,trip
Büro,office
erhalten,receive
Reihe,row
Mund,mouth
genau,exact
Symbol,symbol
sterben,die
am wenigsten,least
Problem,trouble
schreien,shout
außer,except
schrieb,wrote
Samen,seed
Ton,tone
verbinden,join
vorschlagen,suggest
sauber,clean
brechen,break
Dame,lady
Hof,yard
erheben,rise
schlecht,bad
Schlag,blow
Öl,oil
Blut,blood
berühren,touch
wuchs,grew
Cent,cent
mischen,mix
Team,team
Draht,wire
kosten,cost
verloren,lost
braun,brown
tragen,wear
Garten,garden
gleich,equal
gesendet,sent
wählen,choose
fällen,fell
fit,fit
fließen,flow
gerecht,fair
Bank,bank
sammeln,collect
speichern,save
Kontrolle,control
Dezimal,decimal
Ohr,ear
anders,else
ganz,quite
Pleite,broke
Fall,case
Mitte,middle
töten,kill
Sohn,son
See,lake
Moment,moment
Skala,scale
laut,loud
Frühling,spring
beobachten,observe
Kind,child
gerade,straight
Konsonant,consonant
Nation,nation
Wörterbuch,dictionary
Milch,milk
Geschwindigkeit,speed
Methode,method
Organ,organ
zahlen,pay
Alter,age
Abschnitt,section
Kleid,dress
Wolke,cloud
Überraschung,surprise
ruhig,quiet
Stein,stone
winzig,tiny
steigen,climb
Cool,cool
Design,design
arm,poor
viel,lot
Experiment,experiment
unten,bottom
Schlüssel,key
Eisen,iron
einzel,single
Stock,stick
Wohnung,flat
zwanzig,twenty
Haut,skin
lächeln,smile
Falte,crease
Loch,hole
springen,jump
Baby,baby
acht,eight
Dorf,village
treffen,meet
Wurzel,root
kaufen,buy
erheben,raise
lösen,solve
Metall,metal
ob,whether
drücken,push
Sieben,seven
Absatz,paragraph
dritte,third
soll,shall
gehaltenen,held
Haar,hair
beschreiben,describe
kochen,cook
Boden,floor
entweder,either
Ergebnis,result
brennen,burn
hügel,hill
sicher,safe
Katze,cat
Jahrhundert,century
halten,consider
Typ,type
Gesetz,law
bisschen,bit
Küste,coast
Kopieren,copy
Phrase,phrase
still,silent
groß,tall
Sand,sand
Boden,soil
rollen,roll
Temperatur,temperature
Finger,finger
Industrie,industry
Wert,value
kämpfen,fight
Lüge,lie
schlagen,beat
anregen,excite
natürlich,natural
Sicht,view
Sinn,sense
Hauptstadt,capital
Stuhl,chair
Gefahr,danger
Obst,fruit
reich,rich
dick,thick
Soldat,soldier
Verfahren,process
arbeiten,operate
üben,practice
separate,separate
schwierig,difficult
Arzt,doctor
Bitte,please
schützen,protect
Mittag,noon
Ernte,crop
modern,modern
Element,element
Schlag,hit
Student,student
Ecke,corner
Party,party
liefern,supply
wessen,whose
Lokalisieren,locate
Ring,ring
Charakter,character
Insekt,insect
erwischt,caught
Zeitraum,period
angeben,indicate
Radio,radio
gesprochen,spoke
Atom,atom
menschlich,human
Geschichte,history
Wirkung,effect
elektrisch,electric
erwarten,expect
Knochen,bone
Schiene,rail
vorstellen,imagine
bieten,provide
zustimmen,agree
daher,thus
sanft,gentle
Frau,woman
Kapitän,captain
erraten,guess
notwendig,necessary
scharf,sharp
Flügel,wing
erstellen,create
Nachbar,neighbor
waschen,wash
Schläger,bat
eher,rather
Menge,crowd
Mais,corn
vergleichen,compare
Gedicht,poem
Saite,string
Glocke,bell
abhängen,depend
Fleisch,meat
reiben,rub
Rohr,tube
berühmt,famous
Dollar,dollar
Strom,stream
Furcht,fear
Sicht,sight
dünn,thin
Dreieck,triangle
Planet,planet
beeil dich,hurry
Chef,chief
Kolonie,colony
Uhr,clock
meins,mine
binden,tie
eingeben,enter
wesentlich,major
frisch,fresh
suchen,search
schicken,send
Gelb,yellow
Pistole,gun
erlauben,allow
drucken,print
tot,dead
Stelle,spot
Wüste,desert
Anzug,suit
aktuell,current
Aufzug,lift
Rose,rose
ankommen,arrive
Meister,master
Schiene,track
Elternteil,parent
Ufer,shore
Aufteilung,division
Blatt,sheet
Substanz,substance
favorisieren,favor
verbinden,connect
Post,post
ausgeben,spend
Akkord,chord
fett,fat
froh,glad
Original,original
Aktie,share
Bahnhof,station
Papa,dad
brot,bread
Aufladung,charge
richtig,proper
Bar,bar
Angebot,offer
Segment,segment
Sklave,slave
Ente,duck
sofortig,instant
Markt,market
Grad,degree
bevölkern,populate
Küken,chick
Liebling,dear
Feind,enemy
Antwort,reply
trinken,drink
geschehen,occur
Unterstützung,support
Rede,speech
Natur,nature
Reichweite,range
Dampf,steam
Bewegung,motion
Weg,path
flüssig,liquid
Protokoll,log
gemeint,meant
Quotient,quotient
Zähne,teeth
Hülse,shell
Nacken,neck
Sauerstoff,oxygen
Zucker,sugar
Tod,death
hübsch,pretty
Fähigkeit,skill
Frauen,women
Jahreszeit,season
Lösung,solution
Magnet,magnet
Silber,silver
Dank,thank
Zweig,branch
übereinstimmen,match
Suffix,suffix
besonders,especially
Feige,fig
besorgt,afraid
riesig,huge
Schwester,sister
Stahl,steel
diskutieren,discuss
nach vorne,forward
ähnlich,similar
Führung,guide
Erfahrung,experience
Punktzahl,score
Apfel,apple
gekauft,bought
LED,led
Tonhöhe,pitch
Mantel,coat
Masse,mass
Karte,card
Band,band
Seil,rope
Unterhose,slip
gewinnen,win
Traum,dream
Abend,evening
Zustand,condition
füttern,feed
Werkzeug,tool
gesamt,total
Basic,basic
Geruch,smell
Schlucht,valley
noch,nor
doppelt,double
Sitz,seat
weitermachen,continue
Block,block
Diagramm,chart
Hut,hat
verkaufen,sell
Erfolg,success
Unternehmen,company
subtrahieren,subtract
Ereignis,event
besondere,particular
handeln,deal
schwimmen,swim
Begriff,term
Gegenteil,opposite
Gattin,wife
Schuh,shoe
Schulter,shoulder
verbreiten,spread
arrangieren,arrange
Lager,camp
erfinden,invent
Baumwolle,cotton
geboren,born
bestimmen,determine
Quart,quart
neun,nine
LKW,truck
Lärm,noise
Ebene,level
Chance,chance
versammeln,gather
Geschäft,shop
strecken,stretch
werfen,throw
scheinen,shine
Eigentum,property
Spalte,column
Molekül,molecule
wählen,select
falsch,wrong
grau,gray
wiederholen,repeat
erfordern,require
breit,broad
vorbereiten,prepare
Salz,salt
Nase,nose
Plural,plural
Wut,anger
beanspruchen,claim
Kontinent,continent